DateTime,Visitor,Visitor PTS,Home,Home PTS,OT,Attendance,Arena,DateStr,Visitor_short,Home_short,game_id
2000-11-11 22:00:00,Houston Rockets,88.0,Portland Trail Blazers,111.0,,19992.0,Rose Garden Arena,200011112200,HOU,POR,200011112200HOUPOR
2000-11-12 18:00:00,Seattle SuperSonics,92.0,Detroit Pistons,101.0,,14289.0,The Palace of Auburn Hills,200011121800,SEA,DET,200011121800SEADET
2000-11-12 21:00:00,Los Angeles Clippers,79.0,Denver Nuggets,95.0,,10842.0,Pepsi Center,200011122100,LAC,DEN,200011122100LACDEN
2000-11-12 21:00:00,Orlando Magic,105.0,Golden State Warriors,99.0,OT,13626.0,The Arena in Oakland,200011122100,ORL,GSW,200011122100ORLGSW
2000-11-12 21:00:00,Dallas Mavericks,84.0,Sacramento Kings,109.0,,17317.0,ARCO Arena (II),200011122100,DAL,SAC,200011122100DALSAC
2000-11-12 21:30:00,Houston Rockets,99.0,Los Angeles Lakers,105.0,,18997.0,STAPLES Center,200011122130,HOU,LAL,200011122130HOULAL
2000-11-13 19:30:00,Portland Trail Blazers,94.0,New Jersey Nets,82.0,,10704.0,Continental Airlines Arena,200011131930,POR,NJN,200011131930PORNJN
2000-11-13 22:30:00,Dallas Mavericks,90.0,Los Angeles Clippers,76.0,,9340.0,STAPLES Center,200011132230,DAL,LAC,200011132230DALLAC
2000-11-14 19:30:00,Portland Trail Blazers,97.0,Atlanta Hawks,99.0,,12610.0,Philips Arena,200011141930,POR,ATL,200011141930PORATL
2000-11-14 19:30:00,Golden State Warriors,86.0,Cleveland Cavaliers,96.0,,13691.0,Gund Arena,200011141930,GSW,CLE,200011141930GSWCLE
2000-11-14 19:30:00,Charlotte Hornets,86.0,Miami Heat,89.0,OT,14983.0,AmericanAirlines Arena,200011141930,CHH,MIA,200011141930CHHMIA
2000-11-14 20:00:00,Orlando Magic,82.0,Sacramento Kings,96.0,,17317.0,ARCO Arena (II),200011142000,ORL,SAC,200011142000ORLSAC
2000-11-14 20:30:00,Chicago Bulls,83.0,Houston Rockets,110.0,,11724.0,Compaq Center,200011142030,CHI,HOU,200011142030CHIHOU
2000-11-14 20:30:00,Utah Jazz,79.0,San Antonio Spurs,86.0,,18053.0,Alamodome,200011142030,UTA,SAS,200011142030UTASAS
2000-11-14 22:30:00,Denver Nuggets,103.0,Los Angeles Lakers,119.0,,18997.0,STAPLES Center,200011142230,DEN,LAL,200011142230DENLAL
2000-11-14 22:30:00,New York Knicks,75.0,Seattle SuperSonics,96.0,,17072.0,KeyArena at Seattle Center,200011142230,NYK,SEA,200011142230NYKSEA
2000-11-15 19:00:00,Washington Wizards,109.0,Boston Celtics,116.0,,13915.0,FleetCenter,200011151900,WAS,BOS,200011151900WASBOS
2000-11-15 19:00:00,Cleveland Cavaliers,98.0,Philadelphia 76ers,107.0,,16328.0,First Union Center,200011151900,CLE,PHI,200011151900CLEPHI
2000-11-15 19:30:00,Indiana Pacers,92.0,Detroit Pistons,88.0,,14350.0,The Palace of Auburn Hills,200011151930,IND,DET,200011151930INDDET
2000-11-15 20:00:00,Miami Heat,91.0,New Jersey Nets,93.0,,13504.0,Continental Airlines Arena,200011152000,MIA,NJN,200011152000MIANJN
2000-11-15 20:00:00,Golden State Warriors,90.0,Minnesota Timberwolves,92.0,,16034.0,Target Center,200011152000,GSW,MIN,200011152000GSWMIN
2000-11-15 20:00:00,Atlanta Hawks,74.0,Milwaukee Bucks,84.0,,13217.0,Bradley Center,200011152000,ATL,MIL,200011152000ATLMIL
2000-11-15 21:00:00,Dallas Mavericks,78.0,Phoenix Suns,99.0,,16652.0,America West Arena,200011152100,DAL,PHX,200011152100DALPHX
2000-11-15 22:30:00,New York Knicks,74.0,Los Angeles Clippers,78.0,,12516.0,STAPLES Center,200011152230,NYK,LAC,200011152230NYKLAC
2000-11-16 19:00:00,Portland Trail Blazers,86.0,Toronto Raptors,80.0,,19800.0,Air Canada Centre,200011161900,POR,TOR,200011161900PORTOR
2000-11-16 19:00:00,San Antonio Spurs,99.0,Washington Wizards,95.0,,19832.0,MCI Center,200011161900,SAS,WAS,200011161900SASWAS
2000-11-16 20:00:00,Los Angeles Lakers,112.0,Sacramento Kings,110.0,OT,17317.0,ARCO Arena (II),200011162000,LAL,SAC,200011162000LALSAC
2000-11-16 20:30:00,Charlotte Hornets,80.0,Houston Rockets,84.0,,11028.0,Compaq Center,200011162030,CHH,HOU,200011162030CHHHOU
2000-11-16 21:00:00,Chicago Bulls,85.0,Denver Nuggets,89.0,,10150.0,Pepsi Center,200011162100,CHI,DEN,200011162100CHIDEN
2000-11-16 21:00:00,Orlando Magic,84.0,Utah Jazz,99.0,,18851.0,Delta Center,200011162100,ORL,UTA,200011162100ORLUTA
2000-11-16 22:00:00,Los Angeles Clippers,76.0,Vancouver Grizzlies,72.0,,12210.0,General Motors Place,200011162200,LAC,VAN,200011162200LACVAN
2000-11-17 19:00:00,Golden State Warriors,92.0,Indiana Pacers,90.0,,17101.0,Conseco Fieldhouse,200011171900,GSW,IND,200011171900GSWIND
2000-11-17 19:00:00,Miami Heat,73.0,Philadelphia 76ers,94.0,,20720.0,First Union Center,200011171900,MIA,PHI,200011171900MIAPHI
2000-11-17 19:30:00,Detroit Pistons,96.0,Charlotte Hornets,89.0,,14771.0,Charlotte Coliseum,200011171930,DET,CHH,200011171930DETCHH
2000-11-17 19:30:00,Atlanta Hawks,99.0,Boston Celtics,106.0,,13815.0,FleetCenter,200011171930,ATL,BOS,200011171930ATLBOS
2000-11-17 20:00:00,San Antonio Spurs,94.0,Minnesota Timberwolves,99.0,OT,17288.0,Target Center,200011172000,SAS,MIN,200011172000SASMIN
2000-11-17 20:30:00,Cleveland Cavaliers,76.0,Milwaukee Bucks,89.0,,13874.0,Bradley Center,200011172030,CLE,MIL,200011172030CLEMIL
